"id","label","location","sentiment_score","followers_count"
"x1189912103710277633","DavignyAndy","Boulogne-Billancourt",6,94
"x115683734","MacLesggy","Boulogne-Billancourt, France",7,46908
"x737819383368671233","PulpVisionParis","Boulogne-Billancourt, France",3,28
"x217007046","CDHermine","Bourges",4,855
"x850829411431714817","BrancardHurlant","Bourgogne, France",4,213
"x617229769","LeDLisere","Bourgoin-Jallieu",3,2784
"x1111181132672962560","Dylan32070310","Brabant wallon",36,45
"x39592795","michelhenrion","Brabant Wallon, Wallonie",3,18513
"x1066319391682367489","Jammore9","Brazzaville Plage",8,3327
"x1972470794","lgrandK","Brazzaville, Congo",4,20
"x964794930","BivelAlain","Bretagne",15,2680
"x440511466","BertrandFazio","Bretagne",4,52
"x819241435421609984","JYPENSAIT1","Bretagne",3,113
"x3045671063","NpNcBc","Bretagne",3,143
"x730014136982220800","krapuce","Bretagne - Tahiti",3,1177
"x1152271028334338048","DuguesclinJean","Bretagne, France",5,48
"x2223368862","BETHUSJeanLuc","Bretagne, France",5,494
"x308526870","mixieer56","Bretagne, France",5,1279
"x2357870208","paul0341","Bretagne, France",3,12
"x1207302863430594560","Chantal2914","Bretagne, France",3,24
"x3243329980","bihan35","Bretagne, France",3,684
"x411362486","NicolasArzur","Bretagne, France",3,916
"x6681412","Fredzone","Brie-Comte-Robert",3,22444
"x448290218","GatienAlbert","Brive-la-Gaillarde, France",5,5
"x1318952342339883016","JDemonpetit","Brooklyn, NY",6,9
"x990910612464074752","ONPP300","Brunoy, France",4,137
"x1650626012","vivasaludbe","Brussel",4,635
"x966220742","tomfillis","Brüssel, Belgien",3,2024
"x140801736","mabringhs","brussels",4,75
"x440400097","GeraldSantucci","Brussels",6,4345
"x45923129","DYLAN2L","Brussels",5,78
"x787240743979057152","SoniaRomeraw","Brussels",3,142
"x18676508","yunastic","Brussels",3,359
"x494824406","ArnaudZacharie","Brussels",3,3174
"x47118056","redacTendances","Brussels",3,14753
"x6770022","rtlinfo","Brussels",6,127859
"x14715075","ladh","Brussels",6,135957
"x377870547","AlexanderPrym","Brussels (Belgium)",3,1660
"x1344239757090582529","PetitBraquet","Brussels, Belgium",4,18
"x393935262","emanuelebonini","Brussels, Belgium",4,1129
"x2474044632","24heuropegr","Brussels,Strasbourg",3,9913
"x71245999","isabelleory","Bruxelles",8,12374
"x945473418","dr_l_alexandre","Bruxelles",7,74506
"x2591565193","luna__plena","Bruxelles",3,17
"x458373376","lau_bxl","Bruxelles",3,66
"x1888383841","neel_marc","Bruxelles",3,368
"x14180021","LeVif","Bruxelles",6,66455
"x20043573","lalibrebe","Bruxelles",12,238428
"x17169453","lesoir","Bruxelles",6,408355
"x608885594","lolaweb71","Bruxelles, Belgique",10,11207
"x961675395098726401","LADPagencedepub","Bruxelles, Belgique",3,183
"x945357665743589377","Sboornaia","Bruxelles, Belgique",3,255
"x565416096","jeanlucvachiery","Bruxelles, Belgique",3,623
"x1726219135","MathildeElBakri","Bruxelles, Belgique",6,1534
"x843306114","F2Bruxelles","Bruxelles, Belgique",3,2571
"x3749770461","Mutombolaurent","Bruxelles, Belgique",3,32189
"x7682502","lecho","Bruxelles, Belgique",9,59826
"x3098745659","EUinSwitzerland","Bundesgasse 18, 3000 Bern",3,2575
"x939854869241974784","les_vaxxeuses","Bureau de la PMI",5,11338
"x2904827517","Lavoisier_ed","Cachan, France",4,78
"x377910560","francescuG","Caen",17,3703
"x217750713","scholle14000","Caen",20,1515
"x318382096","lhoje","Caen",3,12
"x1174810652","ThierryRouby","Caen, Basse-Normandie",4,2525
"x297945439","Alexibisson","Caen/Paris/Compiègne",3,1391
"x1264598983961387009","barriere_dr","Cagnes-sur-Mer, France",3,111
"x2695537957","lionel_maitre","Cambodia",4,112
"x774081799","adoomwithaview","Cambodia",3,86
"x879276350514888704","magic_albus","Cambridge, England",3,107
"x1087112984541966336","salamandreuh","Cambrousseland, c'est le pied",7,149
"x4909374243","actucameroun","Cameroun",3,47929
"x729543282","the_apex_dawn","Canada",6,125
"x2183589662","MohamedcasaM","Canada",5,634
"x1154076565556387840","AlicesCupofTea1","Canada",4,2
"x427047076","AleM_IT_CA","Canada",4,198
"x89003348","carl_tremblay","Canada",4,264
"x1035192921723613184","ThisIsCANVax","Canada",4,574
"x56381997","CPAC_TV","Canada",4,99551
"x77677956","Chancine","Canada",3,1523
"x872537255142981632","SciChefCan","Canada",3,1728
"x175078262","RCInet","Canada",3,4508
"x495066576","GadflyQuebec","Canada Tiohtiak:ke",4,3970
"x949822258884894720","WizzMSN","Canada Water, London",3,2368
"x3468648322","RAF97483","Canary Bay",4,2909
"x931126906614886400","ArnaudCampion","Cannes, FR",4,136
"x15799394","breizh06","cannes, france",5,273
"x800282968686149632","EdmondAdam1","Cannes, France",12,863
"x251261409","ArtBen","Cannes, France",4,40046
"x951705697552687110","anne_moorleghem","Cannes, France",3,144
"x937943629397725184","NatashaKaminska","Cannes, France",3,160
"x2380418290","montahamrq","Cannes, France",3,176
"x96749617","F_Blondet","Cannes, France",3,185
"x935300112","magalie_t","Cannes, Provence-Alpes-Côte d'Azur",8,1548
"x852272683815501824","BalqisGardenia","Cap d'Antibes, France",5,295
"x910547701816872960","danbriere1977","Carignan, Québec",3,183
"x2742080763","emma_bovy","Carouge (GE), Genève",7,2667
"x1227862483223883777","Lee59964151","Centre",3,9
"x1064586383099133955","Fitamant9","Centre-Val De Loire",4,22
"x771590972748640256","Tisserandetala3","centre corse",4,2437
"x3021274551","SenegalLibe10","Centre dakar",3,3280
"x577424461","nininet37","Centre, France",6,61
"x301567755","ActionIndirect","Centre, France",6,125
"x87804895","Flo_Flo41","Centre, France",4,62
"x974681766","arno7237","Centre, France",3,43
"x995378379380723712","fugier17","Chamalières, France",3,20
"x966641732417925120","GabrielChoulet","Chambéry, France",6,6390
"x4337965456","SarreyP","Champagne-Ardenne, France",7,9
"x239316292","Lisevet","Chantilly, FRANCE",3,125
"x1020231636158427136","VotreActualite","Charente-Maritime",3,35
"x2965911321","MICHELE420001","Charlieu, France",3,421
"x60043216","lrigaux","Charlottetown",3,422
"x1004639607487688704","Branlou2","Chartres, France",4,76
"x852945769132904448","CHChateaurouxLB","Châteauroux, France",3,1142
"x333328961","julnicolas","Châtenay-Malabry, France",3,2951
"x2590105687","jeanphi01","Cheese and frogs Land",3,473
"x2404573807","JJRikly","Chêne-Bougeries",3,17
"x760597221515599873","NavNicoMC","Chez moi",3,67
"x396161314","nikodoc","Chez moi",3,2861
"x2657140332","gistupa","chez moi!",5,159
"x1667162474","CGTNFrancais","Chine",8,1022567
"x778237062080266240","Drabdomg","Chocolatinie",3,855
"x1361661500226682882","DamienBarraud","CHR Metz-Thionville",3,2105
"x69847538","arkanthrope","Church of Ra",3,1689
"x924239574783717376","QuentinMerlin4","Chypre",3,13
"x864770090113355777","DeBattrelos","Circo5908",3,88
"x2311178068","kwuilu22","Citoyen du Monde",12,657
"x1328566088","DESCASTES","Claret 65230 Cizos (Magnoac)",4,44
"x199616842","FBAuvergne","Clermont-Ferrand",3,12240
"x599945846","LEPANTE1571","COGNAC",5,433
"x1296356372813164550","VertColombes","Colombes, France",7,86
"x2556982136","TheMistyDog","Colomiers",3,529
"x104926858","lonaeva","Compiègne, France",3,1158
"x92953497","wolftag1","Complotistland",5,55
"x1257053660321927169","Dweedz1","Corée du Nord.",3,1115
"x131260902","LIBERTA_PARITA","Corse, France",16,889
"x770269075901743104","PalliaCorse","Corse, France",3,154
"x2706195193","kande404","Côte d'Ivoire",4,132
"x1085150157161795585","gachet_michel","Côte d'Ivoire",3,321
"x1081304023167393793","Prom_Ivoire","Côte d'Ivoire",3,1376
"x297971022","OuestFrance22","Côtes d'Armor - Bretagne",5,10120
"x172775167","ch_rouillon","Coulaines (Sarthe-France)",5,4336
"x3448315829","franck77120","Coulommiers, Ile-de-France",3,6621
"x861614085275865088","RebeccaRambar","Cyberland",7,20678
"x820570847161253889","GrandDuduche","D'un bout à l'autre",3,2
"x37541925","leralpointnet","Dakar",3,77113
"x269457193","alioune_kanoute","Dakar, Senegal",4,1343
"x1153693451025899525","Sky_Furius","Dans ce putain de monde de m**",3,126
"x361087328","IrisDessine","Dans le Tardis",5,183
"x1323557573040185349","SAlfaransi","Dans mon canapé.",5,10
"x4288707328","Liamonaten","Dans ton cloud",3,286
"x2310707377","bananoscaradino","dans ton cul",4,184
"x328091920","GOutcorruption","dans ton cul évidemment",3,91
"x35177757","squintar","dans un coin",3,4015
"x301480200","adrenaline1001","Dans une autre dimension",3,19670
"x1897268798","MVincentFCPE","de Toulon à Saint-Maximin",3,1905
"x1217863760091779072","samourai_art","decentralized",3,390
"x4697339970","lePlaymobil28","Decize, France",18,1258
"x991012894346219520","hautpanel","Democratic Republic of Congo",3,460
"x121684992","cathcoste","Digital Nomad",4,5981
"x1006117631848538112","CHDouai","Douai",3,270
"x3662971218","MCantault","Doullens, France",3,381
"x1256646787726745600","AlainChagnon2","Down On The Corner",23,40
"x4105504577","Marie08187533","Drancy",5,980
"x940161181","drassisang","Drancy",3,854
"x872418883","Matthieu_moblo","Dreux, France",3,36
"x3821619622","rupture8","Drôme, Rhône-Alpes",5,32
"x43750451","Dugas222","Drummondville, Québec, Canada",3,479
"x944701683413766144","zmagrixx","dtc",5,391
"x1201201286244454400","roropapa4","dtc",6,55
"x1221776080975077377","captainpastaga","DTC .",7,348
"x2762076437","LaskLg","Dtc au fond a droite",4,181
"x1308299142473699328","Cerclevoltaire1","Dubaï",6,954
"x3434119323","Nardeus1980","Earth",3,280
